date,1024x768,1280x1024,1280x800,1680x1050,800x600,1440x900,1152x864
2008-04-05,5,9,0,6,0,4,2
2008-04-06,5,6,0,1,0,0,0
2008-04-07,3,1,1,2,1,1,0
2008-04-08,1,0,2,1,0,0,0
2008-04-09,4,1,3,0,0,0,0
2008-04-10,4,1,2,0,0,0,0
2008-04-11,4,0,1,5,0,1,0
2008-04-12,1,0,1,2,0,0,0
2008-04-13,3,3,1,2,0,1,0
2008-04-14,1,2,4,0,1,0,0
2008-04-15,4,2,7,0,0,0,0
2008-04-16,0,1,0,0,0,1,0
2008-04-17,1,1,2,0,0,0,0
2008-04-18,3,2,5,0,0,0,0
2008-04-19,0,0,7,0,0,0,0
2008-04-20,0,2,3,2,0,0,0
2008-04-21,1,0,1,0,1,0,0
2008-04-22,2,3,1,0,0,0,0
2008-04-23,0,1,0,1,0,0,1
2008-04-24,5,0,1,4,0,1,0
2008-04-25,7,0,1,0,0,0,0
2008-04-26,1,0,0,0,0,0,0
2008-04-27,3,0,2,0,0,0,0
2008-04-28,4,1,0,0,0,1,0
2008-04-29,1,0,1,0,0,0,0
2008-04-30,0,1,0,0,0,0,0
2008-05-01,0,2,3,1,0,2,0
2008-05-02,1,0,1,0,0,0,0
2008-05-03,0,0,1,0,0,0,0
2008-05-04,2,1,3,0,0,1,1
2008-05-05,0,0,2,0,0,1,0
2008-05-06,1,1,1,1,0,0,0
2008-05-07,1,0,3,0,0,1,0
2008-05-08,4,3,1,1,0,1,0
2008-05-09,2,1,5,0,0,1,1
2008-05-10,3,0,1,0,0,2,0
2008-05-11,0,0,2,0,0,0,0
2008-05-12,3,0,2,0,0,0,0
2008-05-13,2,1,3,0,0,0,0
2008-05-14,2,2,2,0,0,2,0
2008-05-15,4,1,2,0,0,0,0
2008-05-16,2,1,1,0,0,0,1
2008-05-17,5,0,3,0,0,0,0
2008-05-18,2,0,3,0,0,0,0
2008-05-19,2,1,1,1,0,1,0
2008-05-20,4,1,1,1,0,0,0
2008-05-21,1,0,4,1,0,1,0
2008-05-22,1,1,0,1,0,0,0
2008-05-23,1,0,1,1,0,1,0
2008-05-24,1,0,2,0,0,7,0
2008-05-25,1,0,1,0,0,0,0
2008-05-26,2,1,0,0,0,0,0
2008-05-27,3,2,1,0,0,0,0
2008-05-28,0,5,4,0,0,0,0
2008-05-29,1,2,2,1,0,2,0
2008-05-30,5,3,3,0,0,3,0
2008-05-31,0,0,0,0,0,2,0
2008-06-01,0,2,3,1,0,1,0
2008-06-02,3,1,1,0,0,1,0
2008-06-03,2,2,1,1,0,2,0
2008-06-04,3,2,3,0,0,2,0
2008-06-05,1,0,3,0,0,5,0
2008-06-06,0,5,1,12,0,0,0
2008-06-07,0,2,3,9,0,4,0
2008-06-08,1,0,1,0,0,0,0
2008-06-09,4,1,0,1,0,0,0
2008-06-10,2,2,1,0,0,0,0
2008-06-11,2,0,2,0,0,0,0
2008-06-12,4,2,0,0,0,0,0
2008-06-13,4,0,1,1,0,0,0
2008-06-14,5,0,3,0,0,2,0
2008-06-15,6,3,1,0,0,1,0
2008-06-16,5,0,6,0,0,0,0
2008-06-17,6,2,1,0,0,1,0
2008-06-18,2,1,1,2,1,0,0
2008-06-19,3,2,3,1,0,0,0
2008-06-20,2,2,1,0,0,0,0
2008-06-21,4,0,7,0,0,0,0
2008-06-22,3,1,5,1,2,0,1
2008-06-23,9,2,1,0,0,2,1
2008-06-24,8,3,1,1,0,3,0
2008-06-25,5,1,1,1,0,2,0
2008-06-26,4,2,1,1,0,1,0
2008-06-27,2,2,0,0,0,1,0
2008-06-28,3,0,1,0,0,1,0
2008-06-29,2,1,1,0,0,2,1
2008-06-30,3,1,0,0,0,1,0
2008-07-01,7,0,0,0,0,0,0
2008-07-02,6,0,0,1,0,1,0
2008-07-03,6,6,0,0,0,0,0
